task,method,layer,auroc,auprc,brier,ece,note
ood,entropy,,0.5656860435346502,0.8582993448728286,,,output baseline
ood,neg_max_prob,,0.5557623810590082,0.848320380580467,,,output baseline
ood,neg_target_prob,,0.6811765416983683,0.9173085738981314,,,output baseline
ood,loss,,0.6811765416983682,0.9173085752370947,,,output baseline
ood,activation_norm,0.0,0.4861005171766202,0.8430112913236607,,,best layer
ood,mahalanobis,1.0,0.6290346708576914,0.8937469766846755,,,best layer
ood,deterministic_logistic,5.0,0.8790379794557929,0.9708023950858964,0.1373283145175687,0.1760041858548815,best layer
ood,laplace_predictive_mean,5.0,0.879032633331086,0.9707951943140178,0.1372749713809063,0.1760353838093094,best layer
ood,laplace_mutual_information,1.0,0.4552149876484355,0.8184527618652149,,,best layer
high_loss,entropy,,0.626584150528714,0.5423641870808795,,,output baseline
high_loss,neg_max_prob,,0.6084083717109846,0.5195208427894,,,output baseline
high_loss,activation_norm,0.0,0.4930501901332622,0.4814232652651902,,,best layer
high_loss,mahalanobis,0.0,0.6997086802778083,0.6225237985397285,,,best layer
high_loss,deterministic_logistic,5.0,0.7972931826809704,0.7264942478152812,0.1842417374904786,0.0624368198071475,best layer
high_loss,laplace_predictive_mean,5.0,0.7972198972037802,0.726320284122898,0.1842791439819825,0.0625451003052294,best layer
high_loss,laplace_mutual_information,1.0,0.5057754200451258,0.4270629387135883,,,best layer
