layer,task,probe_type,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
0,high_loss,deterministic_logistic,180000,60000,0.7635627641913557,0.7074045113741765,0.19693209516732035,0.5746144839126084,0.06792028964495268,0.2870311252992817
0,high_loss,ridge_classifier,180000,60000,0.7626686993002713,0.7013611156941032,,,,0.2840782122905028
0,high_loss,mahalanobis,180000,60000,0.6997086802778083,0.6225237985397285,,,,0.17545889864325617
0,high_loss,activation_norm,180000,60000,0.49305019013326223,0.4814232652651902,,,,0.11675977653631285
0,high_loss,laplace_predictive_mean,180000,60000,0.7634794781020114,0.7073908309690282,0.19696148620110404,0.5746653613781333,0.06797560650793216,0.28766959297685557
0,high_loss,laplace_mutual_information,180000,60000,0.48882861213225637,0.41721113322066217,,,,0.05323224261771748
1,high_loss,deterministic_logistic,180000,60000,0.7940971062695096,0.7274528170808184,0.18547379190015428,0.548843629245176,0.06299371106063456,0.2833200319233839
1,high_loss,ridge_classifier,180000,60000,0.7936223681367351,0.719834213481354,,,,0.2805666400638468
1,high_loss,mahalanobis,180000,60000,0.6822063447268628,0.6049149520964521,,,,0.16987230646448523
1,high_loss,activation_norm,180000,60000,0.4840213761728577,0.477036263778278,,,,0.10754189944134078
1,high_loss,laplace_predictive_mean,180000,60000,0.7940298732384008,0.7274277848394204,0.1855074869376121,0.5489057623811363,0.06309530127726805,0.28320031923383876
1,high_loss,laplace_mutual_information,180000,60000,0.5057754200451258,0.4270629387135883,,,,0.055546687948922584
2,high_loss,deterministic_logistic,180000,60000,0.7946127993445382,0.7305876206467498,0.18523831260269508,0.54799693935876,0.06350971607962025,0.29341580207501994
2,high_loss,ridge_classifier,180000,60000,0.7942301041895559,0.723585947535565,,,,0.2932561851556265
2,high_loss,mahalanobis,180000,60000,0.6594692777402922,0.5784223248611003,,,,0.14620909816440542
2,high_loss,activation_norm,180000,60000,0.4558667943358379,0.4614214295686298,,,,0.11576217079010376
2,high_loss,laplace_predictive_mean,180000,60000,0.7945554435810838,0.730533792304611,0.18526519050845036,0.548053665444083,0.06359110069706415,0.2940542697525938
2,high_loss,laplace_mutual_information,180000,60000,0.4878469966299542,0.4173693513365093,,,,0.05953711093375898
3,high_loss,deterministic_logistic,180000,60000,0.7921365660023272,0.7290370441041671,0.186343556493678,0.5511335161955907,0.06422099784088867,0.28403830806065444
3,high_loss,ridge_classifier,180000,60000,0.7922563477876337,0.7231395714942432,,,,0.283439744612929
3,high_loss,mahalanobis,180000,60000,0.6362355207262159,0.5524189886404831,,,,0.13032721468475658
3,high_loss,activation_norm,180000,60000,0.4222044877068933,0.44386192383498346,,,,0.11344772545889864
3,high_loss,laplace_predictive_mean,180000,60000,0.792074894894497,0.728962572317361,0.18637638945739393,0.5511992741721095,0.06431656791778903,0.2835993615323224
3,high_loss,laplace_mutual_information,180000,60000,0.47697334867982555,0.4145356186369109,,,,0.06420590582601755
4,high_loss,deterministic_logistic,180000,60000,0.7967836499784604,0.7308630355636803,0.18425955908303762,0.5465060778899085,0.062261999106924586,0.27817238627294494
4,high_loss,ridge_classifier,180000,60000,0.7968272419804376,0.7255970261491277,,,,0.2808858739026337
4,high_loss,mahalanobis,180000,60000,0.6260552824337788,0.5407706543767918,,,,0.12426177174780527
4,high_loss,activation_norm,180000,60000,0.41704820622834904,0.4367920242891036,,,,0.10606544293695132
4,high_loss,laplace_predictive_mean,180000,60000,0.796719015747438,0.7307079521285818,0.18429195481925878,0.5465725738822297,0.06234424867477888,0.2767757382282522
4,high_loss,laplace_mutual_information,180000,60000,0.48129083902126596,0.4187459091019539,,,,0.0683559457302474
5,high_loss,deterministic_logistic,180000,60000,0.7972931826809704,0.7264942478152812,0.1842417374904786,0.5460009708588918,0.06243681980714756,0.26520351157222666
5,high_loss,ridge_classifier,180000,60000,0.7973570323039245,0.7204310808546246,,,,0.2673583399840383
5,high_loss,mahalanobis,180000,60000,0.6278581107688428,0.5433373858500385,,,,0.12525937749401436
5,high_loss,activation_norm,180000,60000,0.4009273890344912,0.40083537419295256,,,,0.10698324022346369
5,high_loss,laplace_predictive_mean,180000,60000,0.7972198972037802,0.726320284122898,0.1842791439819825,0.5460677406911435,0.06254510030522942,0.26436552274541103
5,high_loss,laplace_mutual_information,180000,60000,0.46395945609187067,0.41176740945469004,,,,0.07162809257781325
