layer,ood_type,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
0,char_shuffle,19880,0.6106347264056224,0.6280523261654009,,,,0.16038306451612902
0,modern_prose,20240,0.6540867848827215,0.6372880566242561,,,,0.1208171206225681
0,python,20840,0.8785468343964091,0.9048569131896769,,,,0.6154411764705883
0,repetition,19680,0.9508823255986909,0.9275642297194331,,,,0.6251028806584362
0,word_shuffle,19200,0.5519069948625671,0.5403582613797344,,,,0.09437229437229437
1,char_shuffle,19880,0.7464256522055965,0.7305244712704546,,,,0.21431451612903227
1,modern_prose,20240,0.8862268334036535,0.8722184989474396,,,,0.4487354085603113
1,python,20840,0.9432985342103709,0.9484667233528998,,,,0.7139705882352941
1,repetition,19680,0.9411019179599056,0.9095276031015824,,,,0.5947530864197531
1,word_shuffle,19200,0.8009778779620647,0.7861324991394028,,,,0.3327922077922078
2,char_shuffle,19880,0.7374303160221531,0.7319294028369683,,,,0.2347782258064516
2,modern_prose,20240,0.9024966500242214,0.8970215420284589,,,,0.5481517509727627
2,python,20840,0.9390905718462085,0.943975550770922,,,,0.7103860294117647
2,repetition,19680,0.951663774439321,0.9346859913731691,,,,0.6917695473251029
2,word_shuffle,19200,0.8203887791425442,0.8158810020497684,,,,0.4076839826839827
3,char_shuffle,19880,0.7483120283553568,0.740625528828406,,,,0.24183467741935483
3,modern_prose,20240,0.8914152231494069,0.8924631694477205,,,,0.5447470817120622
3,python,20840,0.9300163521733995,0.9322696002413169,,,,0.6445772058823529
3,repetition,19680,0.9576347364767713,0.9440737443203093,,,,0.71059670781893
3,word_shuffle,19200,0.824290468149655,0.8197483444959047,,,,0.4135281385281385
4,char_shuffle,19880,0.762284126425055,0.7538847318170596,,,,0.2597782258064516
4,modern_prose,20240,0.8943522240713827,0.8957793600084284,,,,0.5603112840466926
4,python,20840,0.9311674916578078,0.9317748783522779,,,,0.6528492647058823
4,repetition,19680,0.9572729911415209,0.9409938591340798,,,,0.7104938271604938
4,word_shuffle,19200,0.8302883884020932,0.8244119238822579,,,,0.4235930735930736
5,char_shuffle,19880,0.7743800403225805,0.7639625488921545,,,,0.2658266129032258
5,modern_prose,20240,0.9004807459409623,0.9010645772704785,,,,0.5616731517509728
5,python,20840,0.9198322148889677,0.9225008180281369,,,,0.606985294117647
5,repetition,19680,0.9620769601037896,0.9514800769965451,,,,0.7308641975308642
5,word_shuffle,19200,0.8321543153132008,0.8221067707659708,,,,0.400974025974026
