layer,task,probe_type,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
0,ood,deterministic_logistic,180000,60000,0.7330594530399777,0.9346117127383499,0.2096466075441697,0.6007038370809006,0.2690107850546615,0.3292765787370104
0,ood,ridge_classifier,180000,60000,0.7325653112048514,0.9337983686605996,,,,0.333533173461231
0,ood,mahalanobis,180000,60000,0.6095781296649427,0.8898438905650554,,,,0.1381294964028777
0,ood,activation_norm,180000,60000,0.4861005171766202,0.8430112913236607,,,,0.07781774580335732
0,ood,laplace_predictive_mean,180000,60000,0.7330563781906202,0.9346052999765365,0.20959862559914835,0.6006051558373359,0.26902266793533536,0.3283373301358913
0,ood,laplace_mutual_information,180000,60000,0.41721093205756676,0.8109975180138542,,,,0.044644284572342124
1,ood,deterministic_logistic,180000,60000,0.8658391008077071,0.9667948628852518,0.14323938517021167,0.44465479335173863,0.18344527474387082,0.4668864908073541
1,ood,ridge_classifier,180000,60000,0.8642287736076201,0.9661684553629805,,,,0.46936450839328536
1,ood,mahalanobis,180000,60000,0.6290346708576914,0.8937469766846755,,,,0.14582334132693844
1,ood,activation_norm,180000,60000,0.4706582816076456,0.8364341204435238,,,,0.079396482813749
1,ood,laplace_predictive_mean,180000,60000,0.8658289523000074,0.966786326607545,0.143175787244749,0.44448989265244415,0.18343512469262352,0.46710631494804156
1,ood,laplace_mutual_information,180000,60000,0.4552149876484355,0.8184527618652149,,,,0.040787370103916865
2,ood,deterministic_logistic,180000,60000,0.8721191831675222,0.9694124016653412,0.14283035096871374,0.44231051793746895,0.1811832394225949,0.5232613908872902
2,ood,ridge_classifier,180000,60000,0.8707898500476727,0.9689429839863597,,,,0.5174460431654676
2,ood,mahalanobis,180000,60000,0.5990230135168974,0.8805769313253127,,,,0.11650679456434852
2,ood,activation_norm,180000,60000,0.4196353760365202,0.8191091098450699,,,,0.0729216626698641
2,ood,laplace_predictive_mean,180000,60000,0.8720969971011143,0.9694043357432207,0.1427858036262102,0.4421715960663554,0.18119771321745257,0.5236810551558753
2,ood,laplace_mutual_information,180000,60000,0.4307178504184604,0.8090474953601132,,,,0.04004796163069544
3,ood,deterministic_logistic,180000,60000,0.8719071800792297,0.9692472968019841,0.14387466135479207,0.44509902100107407,0.18525792990739656,0.5143884892086331
3,ood,ridge_classifier,180000,60000,0.871254826460117,0.9690415266702179,,,,0.5206235011990408
3,ood,mahalanobis,180000,60000,0.5710372495176549,0.8680899455739508,,,,0.0929656274980016
3,ood,activation_norm,180000,60000,0.3929935960869858,0.8079242255232826,,,,0.06027178257394085
3,ood,laplace_predictive_mean,180000,60000,0.8718943098533223,0.9692347514568093,0.14381180046288075,0.44492346715694725,0.18526191899848637,0.5133892885691447
3,ood,laplace_mutual_information,180000,60000,0.4279551689973322,0.8097784981639358,,,,0.04268585131894485
4,ood,deterministic_logistic,180000,60000,0.8765679434364155,0.9700978743826417,0.13978867957235283,0.4354137922395566,0.1796380537185782,0.5247801758593126
4,ood,ridge_classifier,180000,60000,0.875596442524695,0.9698935562373475,,,,0.5276978417266187
4,ood,mahalanobis,180000,60000,0.5471798454810448,0.85793989303057,,,,0.08141486810551558
4,ood,activation_norm,180000,60000,0.37660802783476033,0.8007847520165075,,,,0.05015987210231815
4,ood,laplace_predictive_mean,180000,60000,0.8765371126793344,0.970079180877485,0.13974994664097082,0.4352775057652438,0.1796690486291831,0.5257593924860112
4,ood,laplace_mutual_information,180000,60000,0.42827702897922626,0.8081342029450427,,,,0.04474420463629097
5,ood,deterministic_logistic,180000,60000,0.8790379794557929,0.9708023950858964,0.13732831451756877,0.42783004436632205,0.17600418585488153,0.5160671462829736
5,ood,ridge_classifier,180000,60000,0.8779556816394275,0.9705387744791398,,,,0.5221223021582734
5,ood,mahalanobis,180000,60000,0.5331039074363,0.8523976344031098,,,,0.07326139088729017
5,ood,activation_norm,180000,60000,0.3783561474113882,0.7901538239749624,,,,0.03669064748201439
5,ood,laplace_predictive_mean,180000,60000,0.879032633331086,0.9707951943140178,0.13727497138090639,0.42765611560432953,0.1760353838093094,0.5150679456434852
5,ood,laplace_mutual_information,180000,60000,0.4204690384238794,0.8013949745272434,,,,0.035151878497202235
