eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,char_shuffle,entropy,,149520,19880,0.6032054427386967,0.5567610268429193,,,,0.050201612903225806
leave_one_ood_type_out,char_shuffle,neg_max_prob,,149520,19880,0.5974692924925508,0.5420334102787039,,,,0.03588709677419355
leave_one_ood_type_out,char_shuffle,loss,,149520,19880,0.898273466851276,0.8990667386426193,,,,0.6211693548387097
leave_one_ood_type_out,char_shuffle,deterministic_logistic,0.0,149520,19880,0.493647300897137,0.5394052438456967,0.30124813575550996,0.8487378483258112,0.18733385852797554,0.11068548387096774
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,0.0,149520,19880,0.4935149468843115,0.5392954930904287,0.3011661574146315,0.8483930529844245,0.18678427188705476,0.11028225806451612
leave_one_ood_type_out,char_shuffle,ridge_classifier,0.0,149520,19880,0.496878259003757,0.5249620607752599,,,,0.08548387096774193
leave_one_ood_type_out,char_shuffle,mahalanobis,0.0,149520,19880,0.6956542804281642,0.6534466068382224,,,,0.12066532258064516
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,0.0,149520,19880,0.4264762679751263,0.4450946472927656,,,,0.02036290322580645
leave_one_ood_type_out,char_shuffle,deterministic_logistic,1.0,149520,19880,0.5272513542071512,0.5574191912618558,0.3619099519548103,1.250913637808262,0.30630185546674343,0.10695564516129032
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,1.0,149520,19880,0.5271346272185515,0.5573493270067253,0.3617488530973302,1.2494277126183178,0.3060436106071939,0.10675403225806451
leave_one_ood_type_out,char_shuffle,ridge_classifier,1.0,149520,19880,0.5283530239911258,0.5559859121147974,,,,0.10352822580645162
leave_one_ood_type_out,char_shuffle,mahalanobis,1.0,149520,19880,0.650555133841819,0.6100661525221036,,,,0.0998991935483871
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,1.0,149520,19880,0.397121899897979,0.425665309087909,,,,0.015221774193548388
leave_one_ood_type_out,char_shuffle,deterministic_logistic,2.0,149520,19880,0.5545359158407824,0.5804365906800325,0.3519904446821263,1.212339651314938,0.29705420201217103,0.12278225806451613
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,2.0,149520,19880,0.5543318384424796,0.5803224050356343,0.35186210247423,1.2109752291601064,0.29741267160721857,0.12268145161290323
leave_one_ood_type_out,char_shuffle,ridge_classifier,2.0,149520,19880,0.556906375502008,0.5801853281851488,,,,0.11733870967741936
leave_one_ood_type_out,char_shuffle,mahalanobis,2.0,149520,19880,0.5734777517327374,0.5387714931973413,,,,0.057358870967741934
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,2.0,149520,19880,0.30513069920812286,0.38128069473538684,,,,0.010584677419354838
leave_one_ood_type_out,char_shuffle,deterministic_logistic,3.0,149520,19880,0.5572564147719912,0.584517746383715,0.34809647721426257,1.173856880519557,0.2916888557845667,0.125
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,3.0,149520,19880,0.5570147019529732,0.5843960471664396,0.34795917062078213,1.1726015920945254,0.2911884014656585,0.1254032258064516
leave_one_ood_type_out,char_shuffle,ridge_classifier,3.0,149520,19880,0.561693568629356,0.5858000816341996,,,,0.1247983870967742
leave_one_ood_type_out,char_shuffle,mahalanobis,3.0,149520,19880,0.5133744352409638,0.48799430146518513,,,,0.02842741935483871
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,3.0,149520,19880,0.24027274420261693,0.3564141794537802,,,,0.006955645161290323
leave_one_ood_type_out,char_shuffle,deterministic_logistic,4.0,149520,19880,0.569797982251587,0.5970521593969143,0.34217010402504033,1.1551286957701106,0.284078560537855,0.13639112903225806
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,4.0,149520,19880,0.569566041383275,0.5969027483649005,0.3420664022246927,1.1539471725300734,0.2839637935573996,0.13649193548387098
leave_one_ood_type_out,char_shuffle,ridge_classifier,4.0,149520,19880,0.570737759505765,0.5950139006721533,,,,0.1314516129032258
leave_one_ood_type_out,char_shuffle,mahalanobis,4.0,149520,19880,0.46740956770630915,0.45801304409882704,,,,0.02247983870967742
