ood_type,method,display_name,best_layer,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
char_shuffle,entropy,Entropy,,19880,0.6032054427386967,0.5567610268429193,,,,0.050201612903225806
char_shuffle,neg_max_prob,1 - max prob,,19880,0.5974692924925508,0.5420334102787039,,,,0.03588709677419355
char_shuffle,loss,Loss,,19880,0.898273466851276,0.8990667386426193,,,,0.6211693548387097
char_shuffle,deterministic_logistic,Layer probe,5.0,19880,0.7743800403225805,0.7639625488921545,,,,0.2658266129032258
char_shuffle,laplace_predictive_mean,Laplace mean,5.0,19880,0.774389706001425,0.7640089528461377,,,,0.2658266129032258
modern_prose,entropy,Entropy,,20240,0.5711331073320519,0.5561208910519513,,,,0.06867704280155643
modern_prose,neg_max_prob,1 - max prob,,20240,0.5663331975762974,0.5531948975882264,,,,0.05301556420233463
modern_prose,loss,Loss,,20240,0.5851109252183833,0.5573888826809432,,,,0.05301556420233463
modern_prose,deterministic_logistic,Layer probe,5.0,20240,0.9004807459409623,0.9010645772704785,,,,0.5616731517509728
modern_prose,laplace_predictive_mean,Laplace mean,5.0,20240,0.9006073418186364,0.9011742291179003,,,,0.5618677042801556
python,entropy,Entropy,,20840,0.5908268506009331,0.5870088678717953,,,,0.08033088235294118
python,neg_max_prob,1 - max prob,,20840,0.5732445498907395,0.5523532460061217,,,,0.03566176470588235
python,loss,Loss,,20840,0.7826520650617175,0.8220991553723347,,,,0.4340073529411765
python,deterministic_logistic,Layer probe,5.0,20840,0.9198322148889677,0.9225008180281369,,,,0.606985294117647
python,laplace_predictive_mean,Laplace mean,5.0,20840,0.9198133296051855,0.9224521050201226,,,,0.6058823529411764
repetition,entropy,Entropy,,19680,0.5049418300775117,0.5097313654041138,,,,0.04094650205761317
repetition,neg_max_prob,1 - max prob,,19680,0.4861189097955608,0.4825420082870859,,,,0.0034979423868312758
repetition,loss,Loss,,19680,0.4972112627464591,0.4875961736193407,,,,0.03230452674897119
repetition,deterministic_logistic,Layer probe,5.0,19680,0.9620769601037896,0.9514800769965451,,,,0.7308641975308642
repetition,laplace_predictive_mean,Laplace mean,5.0,19680,0.9618596092187682,0.9512460885801651,,,,0.7274691358024692
word_shuffle,entropy,Entropy,,19200,0.5536420519741303,0.5286622541411553,,,,0.07846320346320346
word_shuffle,neg_max_prob,1 - max prob,,19200,0.5519017737617136,0.5128230684678807,,,,0.05551948051948052
word_shuffle,loss,Loss,,19200,0.6290165695248526,0.6003592584397952,,,,0.1288961038961039
word_shuffle,deterministic_logistic,Layer probe,5.0,19200,0.8321543153132008,0.8221067707659708,,,,0.400974025974026
word_shuffle,laplace_predictive_mean,Laplace mean,5.0,19200,0.8322250147777257,0.8221448376137916,,,,0.4002164502164502
